SETOR,SUB SETOR,SEGMENTO,CÓDIGO,TICKER
Financeiro,Intermediários Financeiros,Bancos,IDVL,IDVL3
Financeiro,Intermediários Financeiros,Bancos,IDVL,IDVL4
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,IFCM,IFCM3
Financeiro,Exploração de Imóveis,Exploração de Imóveis,IGBR,IGBR3
Utilidade Pública,Água e Saneamento,Água e Saneamento,IGSN,IGSN3
Financeiro,Exploração de Imóveis,Exploração de Imóveis,IGTA,IGTA3
Financeiro,Exploração de Imóveis,Exploração de Imóveis,IGTI,IGTI11
Financeiro,Exploração de Imóveis,Exploração de Imóveis,IGTI,IGTI3
Financeiro,Exploração de Imóveis,Exploração de Imóveis,IGTI,IGTI4
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,INEP,INEP3
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,INEP,INEP4
Consumo Cíclico,Construção Civil,Incorporações,INNT,INNT3
Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,INTB,INTB3
Financeiro,Previdência e Seguros,Seguradoras,IRBR,IRBR3
Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,ITEC,ITEC3
Financeiro,Intermediários Financeiros,Bancos,ITSA,ITSA3
Financeiro,Intermediários Financeiros,Bancos,ITSA,ITSA4
Financeiro,Intermediários Financeiros,Bancos,ITUB,ITUB3
Financeiro,Intermediários Financeiros,Bancos,ITUB,ITUB4
Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,JALL,JALL3
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,JBSS,JBSS3
Consumo Cíclico,Construção Civil,Incorporações,JFEN,JFEN3
Consumo Cíclico,Construção Civil,Incorporações,JHSF,JHSF3
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,JOPA,JOPA3
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,JOPA,JOPA4
Bens Industriais,Transporte,Transporte Rodoviário,JSLG,JSLG3
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,KEPL,KEPL3
Materiais Básicos,Madeira e Papel,Papel e Celulose,KLBN,KLBN11
Materiais Básicos,Madeira e Papel,Papel e Celulose,KLBN,KLBN3
Materiais Básicos,Madeira e Papel,Papel e Celulose,KLBN,KLBN4
Saúde,Serv. Méd. Hospit. Análises e Diagnóstico,Serv. Méd. Hospit. Análises e Diagnóstico,KRSA,KRSA3
Consumo Cíclico,Comércio,Produtos Diversos,LAME,LAME3
Consumo Cíclico,Comércio,Produtos Diversos,LAME,LAME4
Consumo não Cíclico,Agropecuária,Agricultura,LAND,LAND3
Consumo Cíclico,Construção Civil,Incorporações,LAVV,LAVV3
Consumo Cíclico,Diversos,Aluguel de carros,LCAM,LCAM3
Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,LEVE,LEVE3
Financeiro,Outros,Outros,LHER,LHER3
Financeiro,Outros,Outros,LHER,LHER4
Utilidade Pública,Energia Elétrica,Energia Elétrica,LIGT,LIGT3
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,LINX,LINX3
Utilidade Pública,Energia Elétrica,Energia Elétrica,LIPR,LIPR3
Consumo Cíclico,Comércio,Produtos Diversos,LJQQ,LJQQ3
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",LLIS,LLIS3
Financeiro,Exploração de Imóveis,Exploração de Imóveis,LOGG,LOGG3
Bens Industriais,Transporte,Transporte Hidroviário,LOGN,LOGN3
Financeiro,Exploração de Imóveis,Intermediação Imobiliária,LPSB,LPSB3
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",LREN,LREN3
Materiais Básicos,Mineração,Minerais Metálicos,LTEL,LTEL3B
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,LUPA,LUPA3
Bens Industriais,Transporte,Transporte Hidroviário,LUXM,LUXM3
Bens Industriais,Transporte,Transporte Hidroviário,LUXM,LUXM4
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,LVTC,LVTC3
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,LWSA,LWSA3
Financeiro,Outros,Outros,MAPT,MAPT3
Financeiro,Outros,Outros,MAPT,MAPT4
Saúde,Serv. Méd. Hospit. Análises e Diagnóstico,Serv. Méd. Hospit. Análises e Diagnóstico,MATD,MATD3
Consumo Cíclico,Comércio,Produtos Diversos,MBLY,MBLY3
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,MDIA,MDIA3
Consumo Cíclico,Construção Civil,Incorporações,MDNE,MDNE3
Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,MEAL,MEAL3
Utilidade Pública,Energia Elétrica,Energia Elétrica,MEGA,MEGA3
Consumo Cíclico,Construção Civil,Incorporações,MELK,MELK3
Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,MERC,MERC3
Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,MERC,MERC4
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,MGEL,MGEL3
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,MGEL,MGEL4
Consumo Cíclico,Comércio,Eletrodomésticos,MGLU,MGLU3
Bens Industriais,Construção e Engenharia,Serviços Diversos,MILS,MILS3
Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,MLAS,MLAS3
Materiais Básicos,Mineração,Minerais Metálicos,MMXM,MMXM3
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,MNDL,MNDL3
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,MNPR,MNPR3
Financeiro,Holdings Diversificadas,Holdings Diversificadas,MOAR,MOAR3
Financeiro,Intermediários Financeiros,Bancos,MODL,MODL11
Financeiro,Intermediários Financeiros,Bancos,MODL,MODL3
Financeiro,Intermediários Financeiros,Bancos,MODL,MODL4
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,MOSI,MOSI3
Consumo Cíclico,Diversos,Aluguel de carros,MOVI,MOVI3
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,MRFG,MRFG3
Bens Industriais,Transporte,Transporte Ferroviário,MRSA,MRSA3B
Bens Industriais,Transporte,Transporte Ferroviário,MRSA,MRSA5B
Bens Industriais,Transporte,Transporte Ferroviário,MRSA,MRSA6B
Consumo Cíclico,Construção Civil,Incorporações,MRVE,MRVE3
Materiais Básicos,Madeira e Papel,Papel e Celulose,MSPA,MSPA3
Materiais Básicos,Madeira e Papel,Papel e Celulose,MSPA,MSPA4
Consumo Cíclico,Diversos,Aluguel de carros,MSRO,MSRO3
Materiais Básicos,Embalagens,Embalagens,MTIG,MTIG3
Materiais Básicos,Embalagens,Embalagens,MTIG,MTIG4
Consumo Cíclico,Construção Civil,Incorporações,MTRE,MTRE3
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,MTSA,MTSA3
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,MTSA,MTSA4
Financeiro,Exploração de Imóveis,Exploração de Imóveis,MULT,MULT3
Bens Industriais,Material de Transporte,Material Rodoviário,MWET,MWET3
Bens Industriais,Material de Transporte,Material Rodoviário,MWET,MWET4
Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,MYPK,MYPK3
Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos,NAFG,NAFG3
Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos,NAFG,NAFG4
Materiais Básicos,Madeira e Papel,Papel e Celulose,NEMO,NEMO3
Materiais Básicos,Madeira e Papel,Papel e Celulose,NEMO,NEMO5
Materiais Básicos,Madeira e Papel,Papel e Celulose,NEMO,NEMO6
Utilidade Pública,Energia Elétrica,Energia Elétrica,NEOE,NEOE3
Financeiro,Exploração de Imóveis,Intermediação Imobiliária,NEXP,NEXP3
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,NGRD,NGRD3
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,NINJ,NINJ3
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,NORD,NORD3
Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,NRTQ,NRTQ3
Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,NTCO,NTCO3
Materiais Básicos,Químicos,Fertilizantes e Defensivos,NUTR,NUTR3
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,ODER,ODER4
Saúde,Análises e Diagnósticos,Análises e Diagnósticos,ODPV,ODPV3
Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,OFSA,OFSA3
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",OGXP,OGXP3
Comunicações,Telecomunicações,Telecomunicações,OIBR,OIBR3
Comunicações,Telecomunicações,Telecomunicações,OIBR,OIBR4
Utilidade Pública,Energia Elétrica,Energia Elétrica,OMGE,OMGE3
Saúde,Serv. Méd. Hospit. Análises e Diagnóstico,Serv. Méd. Hospit. Análises e Diagnóstico,ONCO,ONCO3
Bens Industriais,Transporte,Transporte Hidroviário,OPCT,OPCT3
Utilidade Pública,Água e Saneamento,Água e Saneamento,ORVR,ORVR3
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,OSXB,OSXB3
Saúde,Análises e Diagnósticos,Análises e Diagnósticos,PARD,PARD3
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,PATI,PATI3
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,PATI,PATI4
Consumo não Cíclico,Comércio e Distribuição,Alimentos,PCAR,PCAR3
Consumo não Cíclico,Comércio e Distribuição,Alimentos,PCAR,PCAR4
Consumo Cíclico,Construção Civil,Incorporações,PDGR,PDGR3
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,PDTC,PDTC3
Financeiro,Holdings Diversificadas,Holdings Diversificadas,PEAB,PEAB3
Financeiro,Holdings Diversificadas,Holdings Diversificadas,PEAB,PEAB4
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETR,PETR3
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETR,PETR4
Consumo Cíclico,Comércio,Produtos Diversos,PETZ,PETZ3
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,PFRM,PFRM3
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,PGMN,PGMN3
Financeiro,Intermediários Financeiros,Bancos,PINE,PINE3
Financeiro,Intermediários Financeiros,Bancos,PINE,PINE4
Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,PLAS,PLAS3
Consumo Cíclico,Construção Civil,Incorporações,PLPL,PLPL3
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre,PMAM,PMAM3
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,PNVL,PNVL3
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,PNVL,PNVL4
Bens Industriais,Material de Transporte,Material Rodoviário,POMO,POMO3
Bens Industriais,Material de Transporte,Material Rodoviário,POMO,POMO4
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,PORT,PORT3
Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,POSI,POSI3
Utilidade Pública,Energia Elétrica,Energia Elétrica,POWE,POWE3
Financeiro,Outros,Outros,PPAR,PPAR3
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,PPLA,PPLA11
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PRIO,PRIO3
Bens Industriais,Serviços Diversos,Serviços Diversos,PRNR,PRNR3
Financeiro,Previdência e Seguros,Seguradoras,PSSA,PSSA3
Bens Industriais,Construção e Engenharia,Produtos para Construção,PTBL,PTBL3
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,PTCA,PTCA11
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,PTCA,PTCA3
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,PTNT,PTNT3
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,PTNT,PTNT4
Saúde,Análises e Diagnósticos,Análises e Diagnósticos,QUAL,QUAL3
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,QUSW,QUSW3
Financeiro,Outros,Outros,QVQP,QVQP3B
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,RADL,RADL3
Bens Industriais,Transporte,Transporte Ferroviário,RAIL,RAIL3
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",RAIZ,RAIZ4
Materiais Básicos,Madeira e Papel,Papel e Celulose,RANI,RANI3
Materiais Básicos,Madeira e Papel,Papel e Celulose,RANI,RANI4
Bens Industriais,Material de Transporte,Material Rodoviário,RAPT,RAPT3
Bens Industriais,Material de Transporte,Material Rodoviário,RAPT,RAPT4
Bens Industriais,Material de Transporte,Material Rodoviário,RCSL,RCSL3
Bens Industriais,Material de Transporte,Material Rodoviário,RCSL,RCSL4
Consumo Cíclico,Construção Civil,Incorporações,RDNI,RDNI3
Saúde,Serv. Méd. Hospit. Análises e Diagnóstico,Serv. Méd. Hospit. Análises e Diagnóstico,RDOR,RDOR3
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",RECV,RECV3
Utilidade Pública,Energia Elétrica,Energia Elétrica,REDE,REDE3
Consumo Cíclico,Diversos,Aluguel de carros,RENT,RENT3
Bens Industriais,Transporte,Transporte Ferroviário,RLOG,RLOG3
Utilidade Pública,Energia Elétrica,Energia Elétrica,RNEW,RNEW11
Utilidade Pública,Energia Elétrica,Energia Elétrica,RNEW,RNEW3
Utilidade Pública,Energia Elétrica,Energia Elétrica,RNEW,RNEW4
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,ROMI,ROMI3
Financeiro,Intermediários Financeiros,Bancos,RPAD,RPAD3
Financeiro,Intermediários Financeiros,Bancos,RPAD,RPAD5
Financeiro,Intermediários Financeiros,Bancos,RPAD,RPAD6
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",RPMG,RPMG3
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",RRRP,RRRP3
Consumo Cíclico,Construção Civil,Incorporações,RSID,RSID3
Bens Industriais,Material de Transporte,Material Rodoviário,RSUL,RSUL3
Bens Industriais,Material de Transporte,Material Rodoviário,RSUL,RSUL4
Financeiro,Intermediários Financeiros,Bancos,SANB,SANB11
Financeiro,Intermediários Financeiros,Bancos,SANB,SANB3
Financeiro,Intermediários Financeiros,Bancos,SANB,SANB4
Utilidade Pública,Água e Saneamento,Água e Saneamento,SAPR,SAPR11
Utilidade Pública,Água e Saneamento,Água e Saneamento,SAPR,SAPR3
Utilidade Pública,Água e Saneamento,Água e Saneamento,SAPR,SAPR4
Consumo Cíclico,Comércio,Produtos Diversos,SBFG,SBFG3
Utilidade Pública,Água e Saneamento,Água e Saneamento,SBSP,SBSP3
Financeiro,Exploração de Imóveis,Exploração de Imóveis,SCAR,SCAR3
Consumo Cíclico,Diversos,Serviços Educacionais,SEDU,SEDU3
Consumo Cíclico,Diversos,Serviços Educacionais,SEER,SEER3
Bens Industriais,Transporte,Logística,SEQL,SEQL3
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,SGPS,SGPS3
Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,SHOW,SHOW3
Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",SHUL,SHUL3
Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",SHUL,SHUL4
Financeiro,Holdings Diversificadas,Holdings Diversificadas,SIMH,SIMH3
Consumo não Cíclico,Agropecuária,Agricultura,SLCE,SLCE3
Consumo Cíclico,Comércio,Produtos Diversos,SLED,SLED3
Consumo Cíclico,Comércio,Produtos Diversos,SLED,SLED4
Consumo Cíclico,Viagens e Lazer,Atividades Esportivas,SMFT,SMFT3
Consumo Cíclico,Diversos,Programas de Fidelização,SMLS,SMLS3
Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,SMTO,SMTO3
Materiais Básicos,Materiais Diversos,Materiais Diversos,SNSY,SNSY3
Materiais Básicos,Materiais Diversos,Materiais Diversos,SNSY,SNSY5
Materiais Básicos,Materiais Diversos,Materiais Diversos,SNSY,SNSY6
Consumo não Cíclico,Agropecuária,Agricultura,SOJA,SOJA3
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",SOMA,SOMA3
Bens Industriais,Construção e Engenharia,Engenharia Consultiva,SOND,SOND3
Bens Industriais,Construção e Engenharia,Engenharia Consultiva,SOND,SOND5
Bens Industriais,Construção e Engenharia,Engenharia Consultiva,SOND,SOND6
Financeiro,Outros,Outros,SPRT,SPRT3B
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,SQIA,SQIA3
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,STBP,STBP3
Utilidade Pública,Energia Elétrica,Energia Elétrica,STKF,STKF3
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,STTR,STTR3
Financeiro,Previdência e Seguros,Seguradoras,SULA,SULA11
Financeiro,Previdência e Seguros,Seguradoras,SULA,SULA3
Financeiro,Previdência e Seguros,Seguradoras,SULA,SULA4
Materiais Básicos,Madeira e Papel,Papel e Celulose,SUZB,SUZB3
Financeiro,Exploração de Imóveis,Exploração de Imóveis,SYNE,SYNE3
Utilidade Pública,Energia Elétrica,Energia Elétrica,TAEE,TAEE11
Utilidade Pública,Energia Elétrica,Energia Elétrica,TAEE,TAEE3
Utilidade Pública,Energia Elétrica,Energia Elétrica,TAEE,TAEE4
Bens Industriais,Máquinas e Equipamentos,Armas e Munições,TASA,TASA3
Bens Industriais,Máquinas e Equipamentos,Armas e Munições,TASA,TASA4
Bens Industriais,Construção e Engenharia,Engenharia Consultiva,TCNO,TCNO3
Bens Industriais,Construção e Engenharia,Engenharia Consultiva,TCNO,TCNO4
Consumo Cíclico,Construção Civil,Incorporações,TCSA,TCSA3
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,TECN,TECN3
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,TEKA,TEKA3
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,TEKA,TEKA4
Comunicações,Telecomunicações,Telecomunicações,TELB,TELB3
Comunicações,Telecomunicações,Telecomunicações,TELB,TELB4
Consumo Cíclico,Construção Civil,Incorporações,TEND,TEND3
Consumo não Cíclico,Agropecuária,Agricultura,TESA,TESA3
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",TFCO,TFCO4
Bens Industriais,Transporte,Transporte Rodoviário,TGMA,TGMA3
Utilidade Pública,Energia Elétrica,Energia Elétrica,TIET,TIET11
Utilidade Pública,Energia Elétrica,Energia Elétrica,TIET,TIET3
Utilidade Pública,Energia Elétrica,Energia Elétrica,TIET,TIET4
Comunicações,Telecomunicações,Telecomunicações,TIMS,TIMS3
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,TKNO,TKNO3
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,TKNO,TKNO4
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,TOTS,TOTS3
Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos,TOYB,TOYB3
Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos,TOYB,TOYB4
Bens Industriais,Transporte,Exploração de Rodovias,TPIS,TPIS3
Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,TRAD,TRAD3
Consumo Cíclico,Construção Civil,Incorporações,TRIS,TRIS3
Utilidade Pública,Energia Elétrica,Energia Elétrica,TRPL,TRPL3
Utilidade Pública,Energia Elétrica,Energia Elétrica,TRPL,TRPL4
Consumo não Cíclico,Agropecuária,Agricultura,TTEN,TTEN3
Bens Industriais,Material de Transporte,Material Rodoviário,TUPY,TUPY3
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,TXRX,TXRX3
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,TXRX,TXRX4
Consumo Cíclico,Utilidades Domésticas,Móveis,UCAS,UCAS3
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",UGPA,UGPA3
Materiais Básicos,Químicos,Químicos Diversos,UNIP,UNIP3
Materiais Básicos,Químicos,Químicos Diversos,UNIP,UNIP5
Materiais Básicos,Químicos,Químicos Diversos,UNIP,UNIP6
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,USIM,USIM3
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,USIM,USIM5
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,USIM,USIM6
Materiais Básicos,Mineração,Minerais Metálicos,VALE,VALE3
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,VAMO,VAMO3
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",VBBR,VBBR3
Consumo Cíclico,Comércio,Eletrodomésticos,VIIA,VIIA3
Materiais Básicos,Químicos,Fertilizantes e Defensivos,VITT,VITT3
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,VIVA,VIVA3
Consumo Cíclico,Construção Civil,Incorporações,VIVR,VIVR3
Comunicações,Telecomunicações,Telecomunicações,VIVT,VIVT3
Comunicações,Telecomunicações,Telecomunicações,VIVT,VIVT4
Bens Industriais,Serviços Diversos,Serviços Diversos,VLID,VLID3
Bens Industriais,Transporte,Transporte Ferroviário,VSPT,VSPT3
Bens Industriais,Transporte,Transporte Ferroviário,VSPT,VSPT4
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,VULC,VULC3
Saúde,Serv. Méd. Hospit. Análises e Diagnóstico,Serv. Méd. Hospit. Análises e Diagnóstico,VVEO,VVEO3
Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",WEGE,WEGE3
Consumo não Cíclico,Comércio,Produtos Diversos,WEST,WEST3
Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos,WHRL,WHRL3
Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos,WHRL,WHRL4
Financeiro,Previdência e Seguros,Corretoras de Seguros,WIZS,WIZS3
Bens Industriais,Comércio,Material de Transporte,WLMM,WLMM3
Bens Industriais,Comércio,Material de Transporte,WLMM,WLMM4
Consumo Cíclico,Diversos,Serviços Educacionais,YDUQ,YDUQ3
